id,nameEn,nameAr,descriptionEn,descriptionAr,latitude,longitude
transport1,Transportation office,إدارة خدمات التنقل في الحرم,Modern administrative office in the Sacred Mosque providing mobility carts for the elderly and disabled to perform tawaf and saee easily.,مكان إداري حديث داخل المسجد الحرام يُعنى بتوفير عربات التنقل (كهربائية ويدوية) لكبار السن وذوي الإعاقة ليتمكنوا من أداء الطواف والسعي بيسر.,21.423687,39.829112
police1,Police Station,مركز شرطة الحرام المكي الشريف,"The Sacred Mosque Police Center is the security authority responsible for maintaining safety, order, assisting pilgrims, and enforcing regulations inside the Grand Mosque and its courtyards.","مركز شرطة الحرم المكي الشريف هو الجهة الأمنية المسؤولة عن حفظ الأمن والنظام داخل المسجد الحرام وساحاته، ومساعدة الحجاج والمعتمرين وضبط المخالفات.",21.422754,39.830475
wcf1,Women Ablution and Toilets,دورة مياه للنساء,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.424802,39.826888
wcm1,Men Ablution and Toilets,دورات مياه اجياد للرجال رقم ٢,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.419912,39.827088
lost1,Lost and Found Guidance Office (Ajyad),مكتب ارشاد التائه ( اجياد ),"The Lost and Found Guidance Office (Ajyad) is an official center in the Grand Mosque area that quickly and safely reunites lost children, elderly, and pilgrims with their families.",مكتب إرشاد التائه بأجياد هو مركز تابع لإدارة الحرم يساعد في لم شمل التائهين من الأطفال وكبار السن والحجاج مع ذويهم سريعاً وبأمان.,21.419941,39.826286
atm1,Al Jazira Bank ATM,صراف بنك الجزيرة,"An Aljazira Bank ATM inside or around the Grand Mosque providing cash withdrawal, deposit, and transfer services for pilgrims and visitors.",جهاز صراف آلي تابع لبنك الجزيرة داخل المسجد الحرام أو ساحاته يوفر خدمات السحب والإيداع والتحويل للحجاج والمعتمرين.,21.420123,39.826829
atm2,Al Jazira Bank ATM,صراف بنك الجزيرة,"An Aljazira Bank ATM inside or around the Grand Mosque providing cash withdrawal, deposit, and transfer services for pilgrims and visitors.",جهاز صراف آلي تابع لبنك الجزيرة داخل المسجد الحرام أو ساحاته يوفر خدمات السحب والإيداع والتحويل للحجاج والمعتمرين.,21.420123,39.826829
wcf2,Women Ablution and Toilets,دورة مياه للنساء,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.419611,39.827238
wcfm1,Ablution and Toilets,أماكن الوضوء ودورات المياه,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.424641,39.826870
wcfm2,Ablution and Toilets,أماكن الوضوء ودورات المياه,"The authenticated supplication when entering the toilet: In the name of Allah. O Allah, I seek refuge in You from the male and female devils/impure beings.","الدعاء المأثور عند دخول الخلاء: بسم الله، اللهم إني أعوذ بك من الخبث والخبائث.",21.422969,39.830635
hospital1,Haram Emergency Hospital,مستشفى الحرم للطوارئ,A specialized emergency hospital affiliated with the Grand Mosque providing first aid and rapid treatment to pilgrims within the Sacred Mosque precincts.,مستشفى متخصص للطوارئ تابع للحرم المكي يقدم الإسعافات الأولية والعلاج السريع للحجاج والمعتمرين داخل حدود المسجد الحرام.,21.426570,39.824055
